Open,Close,High,Low,Stochastic_Oscillator,Wiki_5day_Disparity,Wiki_3day_Disparity,Google_MA_6,RSI_Move,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_RSI_Move,Wiki_5day_Disparity_Move,Google_EMA5_Move,Google_Move,Google_3day_Disparity_Move,Google_RSI_Move,Google_ROC_Move,Target
99.35567308,99.551155,99.94212861,98.96469948,87.26235825,0.967741935,0.989487897,6701.666667,1,1,0,0,1,1,0,0,0,0,0,1
99.69777657,99.815071,100.1962674,99.56093746,92.39563836,1.181049343,1.20544305,6425,1,1,1,1,1,1,0,0,0,0,0,0
98.86695587,99.678223,100.0300906,98.8180805,89.90463892,0.951596971,0.922913155,6238.333333,0,0,1,0,0,0,0,1,1,1,1,1
100.4503789,101.838333,102.0533693,100.4112876,96.9230462,0.985876179,0.930698287,6316.666667,1,1,1,0,1,1,1,1,1,1,1,1
102.01429,103.050362,103.216523,101.7406029,97.96165602,1.058306709,1.086560364,6198.333333,1,1,0,1,1,1,0,0,0,0,0,1
103.0210293,102.542091,103.4315476,102.1608868,89.36920112,0.911413969,0.939712744,6000,0,0,0,0,0,0,0,0,0,0,0,0
102.2488579,103.558609,104.0961979,101.9654025,94.04758339,1.356343945,1.260286856,5838.333333,1,1,1,1,1,1,0,1,1,0,1,1
103.5488439,102.747353,103.6563621,102.3563794,85.0650069,0.949729004,0.909235163,5760,0,0,0,0,0,0,0,0,0,0,0,0
102.5616375,102.043602,102.9330586,101.5451102,75.29417708,1.038849333,0.964222354,5548.333333,0,1,1,1,1,1,0,0,0,0,0,1
105.6405508,103.871399,105.7578374,103.6856923,81.07844635,0.814940996,0.863458017,5261.666667,1,0,0,0,0,0,0,1,1,1,1,0
103.9007232,105.533028,105.699189,103.7345544,97.51618931,0.898367049,0.975562417,5360,1,1,0,0,1,1,1,1,1,1,1,1
106.1194826,105.230026,106.3638399,104.8390524,88.15121031,1.056671524,1.102733526,5450,0,1,0,1,1,1,1,0,0,0,0,0
